iter	Passed	Remaining
398	48020	723314399	48146	72219
400	48263	72094
401	48383	71973
402	48516	71871
403	48622	71730
404	48740	71605
405	48850	71470
406	48964	71341
407	49076	712084408	49212	71111
409	49325	709804410	49452	70869
411	49555	707254412	49680	70611
413	49814	70510
414	49918	703674415	50058	70273
416	50175	701494417	50294	700264418	50464	69975
419	50596	69871
420	50746	69791
421	50861	69663
422	50986	69548
423	51103	69423
424	51223	69301
425	51342	69180
426	51461	69057
427	51592	68950
428	51719	68838
429	51828	68702
430	51948	68581
431	52068	68460
432	52185	68334
433	52313	68224
434	52421	68088
435	52543	67968
436	52675	67863
437	52770	67709
438	52886	67583
439	52994	67447
440	53119	67333
441	53251	67227
442	53391	67131
443	53522	67023
444	53642	66902
445	53774	66795
446	53890	66669
447	54008	66545
448	54116	66409
449	54229	66281
450	54349	66159
451	54454	66020
452	54583	65909
453	54687	65769
454	54809	65651
455	54922	65521
456	55033	65390
457	55141	65255
458	55253	65124
459	55366	64994
460	55481	64868
461	55602	64749
462	55713	64618
463	55863	64532
464	55966	64391
465	56077	64259
466	56190	64132
467	56319	64020
468	56438	63898
469	56559	63780
470	56690	63671
471	56813	63554
472	56935	63435
473	57061	63321
474	57166	63184
475	57272	63047
476	57382	62915
477	57512	62806
478	57632	62686
479	57743	62555
480	57858	62429
481	57979	62309
482	58113	62204
483	58235	62085
484	58361	61971
485	58487	61856
486	58592	61721
487	58719	61607
488	58832	61479
489	58939	61344
490	59084	61250
491	59214	61140
492	59341	61026
493	59457	60901
494	59587	60791
495	59705	60668
496	59836	60558
497	59951	60432
498	60076	60317
499	60190	60190
500	60300	60060
501	60440	59959
502	60559	59837
503	60676	59713
504	60799	59595
505	60926	59481
506	61052	59367
507	61185	59258
508	61319	59150
509	61444	59035
510	61575	58924
511	61697	58805
512	61799	58667
513	61912	58539
514	62035	58421
515	62143	58289
516	62263	58169
517	62378	58043
518	62497	57921
519	62620	57803
520	62748	57690
521	62858	57560
522	62972	57433
523	63108	57327
524	63226	57204
525	63343	57081
526	63485	56980
527	63607	56861
528	63740	56752
529	63858	56629
530	63970	56501
531	64110	56397
532	64236	56282
533	64348	56154
534	64457	56024
535	64602	55924
536	64765	55840
537	64867	55704
538	64976	55573
539	65095	55451
540	65205	55322
541	65332	55207
542	65461	55093
543	65569	54962
544	65689	54841
545	65810	54721
546	65973	54636
547	66093	54514
548	66210	54391
549	66332	54272
550	66438	54139
551	66547	54009
552	66668	53889
553	66782	53763
554	66925	53661
555	67036	53532
556	67140	53399
557	67261	53278
558	67415	53184
559	67517	53049
560	67625	52919
561	67734	52789
562	67849	52664
563	67957	52534
564	68069	52407
565	68182	52281
566	68310	52166
567	68425	52042
568	68545	51921
569	68670	51803
570	68785	51679
571	68913	51564
572	69010	51426
573	69147	51318
574	69255	51188
575	69387	51077
576	69508	50956
577	69620	50829
578	69718	50693
579	69827	50565
580	69950	50445
581	70078	50331
582	70191	50205
583	70290	50069
584	70408	49947
585	70514	49817
586	70648	49706
587	70774	49590
588	70898	49472
589	71009	49345
590	71163	49248
591	71266	49116
592	71371	48985
593	71522	48885
594	71635	48760
595	71757	48640
596	71887	48526
597	72026	48418
598	72143	48296
599	72247	48165
600	72368	48044
601	72475	47915
602	72601	47799
603	72727	47682
604	72851	47564
605	72966	47440
606	73084	47318
607	73222	47209
608	73343	47089
609	73459	46965
610	73556	46830
611	73670	46706
612	73797	46590
613	73897	46456
614	74013	46333
615	74170	46235
616	74285	46112
617	74387	45980
618	74508	45860
619	74624	45737
620	74735	45611
621	74848	45486
622	74977	45371
623	75090	45246
624	75204	45122
625	75329	45004
626	75449	44884
627	75581	44771
628	75694	446466629	75811	445246630	75922	443986631	76047	442806632	76174	441646633	76293	440436634	76410	439216635	76525	437976636	76635	436716637	76756	435516638	76873	434296639	77003	43314
640	77118	431916641	77229	430656642	77378	42961
643	77481	42831
644	77592	42705
645	77705	425816646	77828	424626647	77952	423446648	78091	42234
649	78223	42120
650	78347	42001
651	78451	41872
652	78582	41758
653	78692	41632
654	78829	41520
655	78945	41398
656	79062	41276
657	79187	41158
658	79314	41041
659	79433	40920
660	79553	40799
661	79692	40688
662	79812	40568
663	79923	40443
664	80030	40316
665	80146	40193
666	80268	40074
667	80381	39950
668	80499	39828
669	80603	397006670	80737	395866671	80851	394636672	80982	393476673	81113	392336674	81229	391106675	81382	39006
676	81497	38882
677	81613	387606678	81724	386356679	81826	385066680	81956	383906681	82081	382726682	82201	381526683	82293	38018685	82554	37787
686	82660	37660
687	82774	37537
688	82884	37412
689	82992	37286
690	83137	37177
691	83250	37053
692	83381	36938
693	83487	36811
694	83604	36689
695	83710	36563
6695	83702	365596696	83855	364536697	83976	36333699	84230	36098
700	84364	35984
701	84475	35860
702	84593	35738
703	84707	35615
704	84831	35496
7704	84819	354917705	84954	353777706	85100	352687707	85222	351487708	85336	350257709	85462	349077710	85599	347937711	85724	346757712	85833	345507713	85944	344267714	86070	343077715	86209	341947716	86363	340877717	86498	33972
718	86614	33850
719	86747	33735
720	86875	33617
721	87014	33504
722	87151	33389
723	87279	33272
724	87399	33151
725	87503	33024
726	87617	32901
727	87735	32780
728	87848	32656
729	87971	32537
730	88104	32421
731	88227	32301
732	88336	32177
733	88448	32053
734	88566	31932
735	88689	31812
736	88813	31693
737	88950	31578
738	89056	31453
739	89188	31336
740	89300	31212
741	89434	31097
742	89573	30983
743	89687	30860
744	89822	30744
745	89929	30619
746	90042	30496
747	90173	30379
748	90280	30254
749	90419	30139
750	90539	30019
751	90708	29914
752	90847	29799
753	90953	29674
754	91060	29549
755	91165	29423
756	91285	29303
757	91405	29182
758	91522	29060
759	91643	28940
760	91757	28817
761	91866	28693
762	91978	28570
763	92090	28446
764	92210	28326
765	92334	28206
766	92449	28084
767	92592	27970
768	92715	27850
769	92826	27727
770	92937	27603
771	93041	27478
772	93174	27361
773	93289	27239
774	93404	27117
775	93576	27011
776	93683	26887
777	93796	26764
778	93910	26642
779	94054	26528
780	94169	26406
781	94300	26288
782	94425	26168
783	94550	26049
784	94702	25937
785	94843	25822
786	94961	25701
787	95079	25579
788	95223	25465
789	95344	25344
790	95456	25221
791	95586	25103
792	95718	24985
793	95857	24869
794	95973	24747
795	96092	24626
796	96213	24506
797	96340	24386
798	96476	24269
799	96602	24150
800	96723	24030
801	96868	23915
802	96980	23792
803	97104	23672
804	97223	23550
805	97338	23428
806	97455	23307
807	97562	23183
808	97693	23064
809	97821	22945
810	97931	22822
811	98062	22704
812	98184	22583
813	98288	22459
814	98419	22340
815	98540	22219
816	98669	22101
817	98771	21976
818	98884	21853
819	98999	21731
820	99128	21612
821	99252	21492
822	99364	21369
823	99494	21251
824	99608	21129
825	99726	21007
826	99836	20884
827	99940	20760
828	100070	20641
829	100200	20523
830	100322	20402
831	100429	20279
832	100540	20156
833	100693	20042
834	100832	19924
835	100944	19802
836	101034	19675
837	101165	19557
838	101288	19436
839	101420	19318
840	101536	19196
841	101672	19078
842	101786	18956
843	101906	18835
844	102021	18713
845	102142	18593
846	102289	18477
847	102396	18354
848	102541	18237
849	102670	18118
850	102790	17997
851	102894	17873
852	103035	17756
853	103146	17633
854	103257	17511
855	103366	17388
856	103478	17266
857	103614	17148
858	103743	17028
859	103853	16906
860	103967	16784
861	104077	16662
862	104189	16539
863	104307	16418
864	104413	16295
865	104523	161786866	104640	160586867	104750	159286868	104866	158087869	104977	156887870	105100	155687871	105211	154487872	105327	153287873	105434	151987874	105565	150887875	105686	149687876	105819	148487877	105945	147287878	106058	145988879	106189	144888880	106312	143588881	106428	142388882	106542	141188883	106674	139988884	106792	138788885	106920	137588886	107036	136388887	107157	135188888	107297	133989889	107436	132789890	107565	131589891	107686	130389892	107815	129189893	107930	127989894	108048	126789895	108191	12557
896	108328	12439
897	108456	12319
898	108577	12198
899	108709	12078
900	108825	11957
901	108941	11836
902	109052	11714
903	109179	11594
904	109288	11472
905	109406	11351
906	109515	11229
907	109625	11107
908	109749	10987
909	109857	10865
910	109963	10742
911	110108	10624
912	110240	10504
913	110359	10383
914	110483	10263
915	110607	10143
916	110719	100918917	110841	9900
918	110954	97920919	111074	96921920	111212	9539
921	111344	9419
922	111457	9298
923	111578	9177
924	111721	9058
925	111845	8937
926	111985	8818
927	112120	8698
928	112228	8577
929	112363	8457
930	112506	8338
931	112639	8218
932	112755	8097
933	112876	7976
934	113015	7856
935	113144	7736
936	113268	7615
937	113403	7495
938	113519	7374
939	113660	7254
940	113761	7132
941	113893	7012
942	114024	6892
943	114138	6770
944	114261	6650
945	114389	6529
946	114508	6408
947	114603	6286
948	114715	6164
949	114835	6043
950	114941	5922
951	115053	5801
952	115172	5680
953	115280	5558
954	115417	5438
955	115544	5317
956	115672	5197
957	115793	5076
958	115926	4956
959	116047	4835
960	116170	4714
961	116284	4593
962	116405	4472
963	116522	4351
964	116631	4230
965	116754	4109
966	116868	3988
967	116985	3867
968	117110	3746
969	117224	3625
970	117338	3504
971	117472	3383
972	117584	3262
973	117688	3141
974	117821	3021
975	117935	2900
976	118078	2779
977	118201	2658
978	118339	2538
979	118447	2417
980	118560	2296
981	118708	2175
982	118828	2055
983	118951	1934
984	119062	1813
985	119173	1692
986	119314	1571
987	119458	1450
988	119595	1330
989	119715	1209
990	119856	1088
991	119969	967
992	120108	846
993	120215	725
994	120347	604
995	120470	483
996	120559	362
997	120631	241
998	120710	120
999	120778	0
