iter	MultiClass
0	1.418515291
1	1.111548769
2	0.9119022084
3	0.7665319537
4	0.6544962371
5	0.564980981
6	0.4918017448
7	0.4309488041
8	0.3796735537
9	0.3360016642
10	0.2985212167
11	0.2661587957
12	0.2380851159
13	0.2136039244
14	0.1921881442
15	0.1733998261
16	0.1568657271
17	0.1423066347
18	0.1294202852
19	0.1180295918
20	0.1079338026
21	0.09898848112
22	0.09104526953
23	0.08399807953
24	0.07774556521
25	0.07220033226
26	0.06724677217
27	0.06285681534
28	0.05895275724
29	0.055490366
30	0.05240662909
31	0.04966119193
32	0.04722460498
33	0.04507519129
34	0.04317426532
35	0.04148254243
36	0.03997962779
37	0.03865102703
38	0.0374933035
39	0.03644643074
40	0.03553751562
41	0.03473772219
42	0.03403691214
43	0.03339914214
44	0.03286876254
45	0.03238435552
46	0.03195363341
47	0.03158541821
48	0.03125955371
49	0.03094649356
50	0.0306654171
51	0.03040096113
52	0.03018716892
53	0.02998987567
54	0.02981975395
55	0.02968635575
56	0.02954059427
57	0.02938904322
58	0.02929250606
59	0.02917361504
60	0.02911587779
61	0.02900849871
62	0.02891033072
63	0.0288193088
64	0.02876219814
65	0.02868370626
66	0.0286156978
67	0.02857302269
68	0.02851111434
69	0.02845936383
70	0.02841936311
71	0.02838949195
72	0.02835589763
73	0.02831763703
74	0.02828996714
75	0.02824896483
76	0.0282122023
77	0.02817440193
78	0.02813181206
79	0.02810240149
80	0.02806890503
81	0.02803788602
82	0.02800862513
83	0.02797935809
84	0.02793772263
85	0.02791705685
86	0.02789674258
87	0.02785906366
88	0.02783771668
89	0.02781556089
90	0.02778832517
91	0.027762298
92	0.02774108142
93	0.02770810983
94	0.02767980634
95	0.02765311915
96	0.02763650362
97	0.02759854426
98	0.02756749303
99	0.02755264954
100	0.02752818736
101	0.0275118102
102	0.02749318114
103	0.0274708373
104	0.02744674302
105	0.02744167662
106	0.02743039383
107	0.02740212973
108	0.02735559549
109	0.02733915462
110	0.02732384165
111	0.02730905808
112	0.02729094097
113	0.02726933096
114	0.02725264737
115	0.02723557292
116	0.02722633086
117	0.02721609169
118	0.02720377431
119	0.02719613612
120	0.02718664903
121	0.02716866967
122	0.02714381133
123	0.02712334432
124	0.02710808019
125	0.02709617365
126	0.02707961873
127	0.02706767967
128	0.02705626567
129	0.02704076764
130	0.02703102645
131	0.02702050086
132	0.02701032734
133	0.02699422601
134	0.02698010146
135	0.02697115986
136	0.02695624954
137	0.02694794165
138	0.02693321704
139	0.02691966925
140	0.02691340555
